,F_Stats,MIC,RF_fimpo,SplitCount,Coverage,PermuImp,boruta,ShapTree,importance_gain,importance_split,MRMR
age,3.5804138,0.1585554758189163,1.8618898427976711,2.5897533889350988,0.7481880195651104,8.237547892720041,1.0,3.959914541964068,342.80172865816786,229,1.0
rep__eeg_n1_theta_alpha,1.3250881,0.2966036360347497,0.8108480710661679,1.159993705460513,0.5503478382382267,0.0,2.0,1.6612244449741715,30.823068390030397,53,4.0
rep__eeg_wake_rel_theta,1.0500349,0.2672541181973195,0.7702462628802113,0.4586021626239238,0.3565225604028462,0.0,1.0,1.349000436216911,47.08095118783481,31,9.0
rep__eeg_rem_abs_delta,0.9901005,0.2749555909899237,0.2755061426967452,0.2427893802126655,0.2146980104388131,0.0,63.0,0.1562417912982883,2.916559089815536,23,10.0
nk__hrv_n1_sd1,0.98184496,0.3076110720147322,0.2156958620180731,0.1348829890070363,1.949736710671845,0.0,75.0,0.4123516393415989,0.03253798943478614,4,17.0
nk__hrv_n1_sdsd,0.97970104,0.3069095601105837,0.1709899058784853,0.2697659780140727,0.0986132626636138,0.0,86.0,0.1592184969300809,0.0,0,5.0
nk__hrv_n1_rmssd,0.97774416,0.3050289934974168,0.1795454967978566,0.1348829890070363,0.2724926821690043,0.1915708812260594,128.0,0.3040848954281848,7.780397784522712,6,24.0
nk__hrv_n1_tp,0.96995515,0.2551467339615437,0.3384276715696478,0.2697659780140727,0.2888494912989987,0.9578544061302972,23.0,0.3847167899881791,4.632001625409143,9,12.0
nk__hrv_n1_hf,0.96048254,0.2583287086808153,0.4103463874199512,,,0.0,17.0,0.1357713192220952,0.08098861128760611,8,26.0
rep__eeg_n2_theta_alpha,0.94045585,0.2837625023383929,0.5947140088960299,0.5934851516309603,0.4754530314493759,0.0,8.0,1.019913708834464,60.93796603960561,55,14.0
rep__eeg_n1_abs_theta,0.90691066,0.2962412364535791,0.3301019392009702,0.5665085538295529,0.2842648258854974,0.7662835249042378,32.0,0.4733383337398461,13.148088443660527,17,15.0
nk__hrv_sleep_rmssd,0.86083794,0.2671020623929514,0.2156984368821796,0.1348829890070363,0.3692100922658995,0.0,127.0,0.3839425973478113,0.0003708369913510978,1,30.0
nk__hrv_sleep_sdsd,0.8604429,0.2671020623929514,0.2291402101531795,,,0.1915708812260594,158.0,0.2117454232507795,0.0,0,34.0
nk__hrv_sleep_sd1,0.8596601,0.2671020623929514,0.1603274943385376,,,0.0,238.0,0.3405097408749541,0.0,0,37.0
nk__hrv_nrem_rmssd,0.85159147,0.257275588182429,0.1371506917089281,,,0.0,146.0,0.4496788065643514,15.299654043628834,9,47.0
nk__hrv_nrem_sdsd,0.8511789,0.257275588182429,0.1645535801488548,,,0.0,212.0,0.3985305638220355,0.6650110185146332,2,51.0
nk__hrv_nrem_sd1,0.8503715,0.2568175044019889,0.1567367969367823,,,0.0,289.0,0.1524886623285567,0.0,0,55.0
nk__hrv_n2_rmssd,0.7815671,0.2961533647581353,0.112416930005485,,,0.0,215.0,0.2014209236438708,3.0375862635008066,6,68.0
nk__hrv_n2_sdsd,0.7811068,0.2961533647581353,0.2304874090342764,,,0.1915708812260594,208.0,0.0833268196067467,0.0,0,73.0
nk__hrv_n2_sd1,0.780965,0.2961533647581353,0.1490952818542825,,,0.0,236.0,0.1398496661506559,0.0,0,77.0
arch__trans_p_wake_n1,0.76366985,0.2810733179518069,0.5038597586268506,0.5665085538295529,0.4756094890125417,0.9578544061301798,5.0,1.255159654115835,50.72355147103538,30,19.0
periodic_limb_idx,0.7611926,0.2607070841969429,0.4604967740194413,0.1348829890070363,0.1475112075208257,0.0,12.0,1.0180322000690774,2.1005211245913276,18,11.0
rep__spindle_n2_amp_mean,0.7538196,0.2822492185256469,0.2625630812356769,0.1348829890070363,0.2466353945330703,0.0,48.0,0.2184900876078677,5.400700444199664,6,2.0
