,mean_rank,median_rank,top10_count,top20_count,n_methods
arch__trans_p_wake_n1,22.772727272727273,19.5,2,6,11
bmi,29.181818181818183,2.0,7,9,11
rep__eeg_n1_theta_alpha,33.36363636363637,5.0,7,9,11
age,37.36363636363637,2.0,9,10,11
rep__eeg_n2_theta_alpha,40.31818181818182,14.0,3,8,11
rep__remd_threshold_uv,41.5,27.0,2,2,11
rep__eeg_n1_abs_theta,43.18181818181818,38.5,0,3,11
arch__arousal_idx_n1,43.36363636363637,13.0,3,7,11
rep__eeg_wake_rel_theta,51.36363636363637,9.0,6,7,11
rep__eeg_n2_rel_theta,54.40909090909091,16.0,3,6,11
pct_r,55.77272727272727,27.0,0,4,11
micro__rswa_phasic_per_min,56.27272727272727,35.5,1,3,11
arch__arousal_idx_rem,59.86363636363637,33.0,4,5,11
rep__eeg_n1_rel_alpha,71.95454545454545,19.5,3,6,11
nk__hrv_sleep_n_beats,72.22727272727273,58.5,1,2,11
prob_arous_mean,73.22727272727273,49.5,0,1,11
micro__rswa_rem_rms_cv,73.72727272727273,59.0,0,3,11
arch__trans_p_n3_n2,76.95454545454545,85.0,1,2,11
rep__eeg_n2_abs_theta,80.36363636363636,29.0,1,4,11
nk__hrv_n3_sdnn,81.81818181818181,64.0,0,1,11
micro__cap_a3_index,82.13636363636364,28.0,0,3,11
nk__hrv_n1_tp,84.36363636363636,54.0,1,2,11
rep__eeg_rem_rel_theta,85.27272727272727,57.0,0,0,11
nk__rsp_rem_rate_sd,86.0,41.0,0,3,11
rep__eeg_n1_abs_beta,91.81818181818181,77.0,1,3,11
rep__eeg_n1_rel_theta,91.95454545454545,46.0,2,4,11
nk__hrv_n3_sd2,98.54545454545455,95.0,0,0,11
isolated_limb_idx,103.5,91.0,0,1,11
micro__cap_a3_pct,104.4090909090909,88.0,0,0,11
micro__cap_a1_pct,106.22727272727273,118.0,0,1,11
rep__spindle_n2_n_spindles,113.04545454545455,74.0,0,0,11
plmi,113.27272727272727,80.0,0,0,11
micro__rswa_rem_nrem_ratio,113.5909090909091,58.0,0,2,11
stage_entropy,114.0909090909091,82.5,0,1,11
nk__hrv_n3_rmssd,114.27272727272727,84.0,0,0,11
nk__rsp_n3_rate_mean,114.63636363636364,76.0,0,0,11
nk__hrv_nrem_n_beats,114.9090909090909,119.0,0,0,11
arch__trans_entropy_wake,116.54545454545455,91.0,0,1,11
micro__cap_time_min,118.18181818181819,74.0,0,0,11
nk__rsp_n3_rrv_cv,118.85,83.75,2,2,10
rep__eeg_rem_abs_delta,120.77272727272727,102.0,1,2,11
waso_min,121.81818181818181,76.0,1,1,11
rep__eeg_n2_abs_delta,124.77272727272727,106.0,0,0,11
nk__hrv_sleep_sd1sd2,125.0,98.0,1,1,11
periodic_limb_idx,125.5,58.5,1,3,11
rep__central_apnea_dur_mean_s,127.0,87.0,0,0,11
rep__eeg_n3_abs_beta,128.5909090909091,119.0,0,0,11
micro__couple_nrem_n_spindles,129.0,73.0,1,1,11
nk__hrv_wake_dfa_a2,129.13636363636363,111.0,0,0,11
rep__eeg_rem_theta_alpha,129.63636363636363,94.5,0,0,11
nk__hrv_n1_rmssd,129.95454545454547,99.5,2,2,11
nk__rsp_wake_rrv_cv,130.0909090909091,120.5,1,3,11
rep__spindle_n2_density_per_min,135.3181818181818,97.0,0,0,11
rep__eeg_n3_rel_theta,135.5909090909091,115.0,0,1,11
arch__trans_p_wake_wake,137.11111111111111,61.5,1,1,9
rep__spindle_n2_amp_mean,139.4090909090909,125.0,1,1,11
arch__trans_p_rem_rem,139.94444444444446,106.0,0,0,9
nk__eegc_n2_sampen_sd,140.4090909090909,56.0,0,1,11
arch__arousal_dur_max_s,141.04545454545453,113.0,0,0,11
rep__eeg_wake_abs_delta,141.72727272727272,127.0,0,0,11
oa_idx,142.77272727272728,142.0,1,3,11
arch__trans_entropy_rem,143.0,139.0,1,1,11
nk__hrv_nrem_rmssd,144.83333333333334,152.0,0,1,9
nk__rsp_n1_rate_sd,144.94444444444446,132.0,0,1,9
rep__eeg_n1_rel_sigma,145.8181818181818,127.0,0,0,11
nk__hrv_n1_sd1,146.63636363636363,81.0,3,4,11
nk__rsp_wake_rate_sd,146.77272727272728,61.0,2,3,11
micro__rswa_tonic_fraction,146.86363636363637,143.0,0,0,11
nk__rsp_n1_rate_mean,148.22727272727272,130.0,0,0,11
nk__hrv_n1_lf,148.22727272727272,124.0,0,0,11
arch__n_arousals,149.13636363636363,119.0,1,1,11
arch__arousal_iai_cv,149.77272727272728,146.5,0,0,11
rep__rdi,149.77777777777777,157.0,0,0,9
micro__couple_n2_modulation,150.6818181818182,153.0,0,0,11
nk__hrv_wake_pnn50,150.9090909090909,157.0,0,1,11
rep__eeg_n2_abs_alpha,151.13636363636363,71.0,0,0,11
rep__eeg_n3_theta_alpha,151.54545454545453,143.0,0,1,11
rep__eeg_rem_rel_alpha,152.0,105.75,0,0,10
rep__central_apnea_dur_max_s,152.22727272727272,103.0,0,0,11
nk__rsp_n3_rate_sd,153.13636363636363,89.5,0,0,11
pct_w,153.3181818181818,119.0,0,0,11
nk__hrv_n1_cvnn,153.54545454545453,133.0,0,0,11
rep__resp_tst_hours,153.63636363636363,120.5,0,0,11
nk__hrv_n1_hf,154.0,186.0,1,1,9
nk__hrv_wake_sleep_hr_delta,154.45454545454547,107.0,0,1,11
nk__rsp_rem_rrv_cv,156.0,112.0,0,1,11
nk__hrv_rem_n_beats,157.22727272727272,149.0,0,0,11
nk__hrv_wake_hfn,157.3181818181818,171.0,0,1,11
rep__spindle_n3_dur_mean,157.45454545454547,119.0,1,1,11
spo2_mean,157.8181818181818,135.5,0,0,11
micro__cap_mean_a_dur_s,158.0,61.0,0,1,11
nk__eegc_wake_permen_sd,159.0909090909091,158.0,0,0,11
rep__eeg_n2_abs_sigma,159.13636363636363,126.0,0,1,11
sleep_efficiency,159.38888888888889,107.0,0,0,9
nk__hrv_rem_rmssd,160.27272727272728,129.0,1,1,11
rep__n_obstructive_apnea,160.3181818181818,108.0,0,1,11
nk__rsp_wake_rate_mean,160.63636363636363,120.5,0,0,11
nk__hrv_nrem_lfn,160.8181818181818,192.0,2,3,11
micro__rswa_tonic_tone_ratio,161.1818181818182,91.5,0,1,11
nk__hrv_rem_dfa_a2,161.27272727272728,159.0,1,1,11
nk__hrv_sleep_hf,161.5,153.0,0,0,11
nk__hrv_n3_sdsd,163.11111111111111,103.0,0,0,9
rep__event_dur_mean_s,163.13636363636363,146.5,0,0,11
nk__eegc_rem_sampen_sd,163.45454545454547,187.0,0,0,11
rep__eeg_rem_abs_alpha,163.45454545454547,128.0,0,0,11
arch__trans_entropy_n3,164.5,173.0,0,0,11
nk__rsp_n2_rate_sd,164.5909090909091,155.0,0,0,11
nk__hrv_n1_pnn50,165.13636363636363,157.0,0,0,11
nk__hrv_sleep_lfn,165.36363636363637,124.0,0,0,11
nk__hrv_sleep_dfa_a2,165.54545454545453,103.0,0,0,11
nk__hrv_rem_nrem_hr_delta,166.0,162.0,0,0,11
rep__spindle_n3_density_per_min,166.04545454545453,176.0,0,0,11
rep__eeg_n2_rel_sigma,168.5,116.0,0,0,9
rep__spo2_mean,168.6818181818182,120.5,0,0,11
micro__cap_rate,169.0909090909091,164.0,0,0,11
nk__hrv_stage_rmssd_cv,169.63636363636363,157.0,0,1,11
nk__hrv_n2_dfa_a1,170.0,144.0,0,0,11
nk__hrv_rem_pnn50,171.04545454545453,138.0,1,1,11
nk__hrv_stage_hr_range,171.13636363636363,187.0,0,0,11
arch__arousal_iai_mean_s,171.27272727272728,184.0,1,1,11
nk__rsp_n1_rrv_cv,171.5909090909091,142.0,0,0,11
nk__hrv_rem_nrem_rmssd_ratio,172.54545454545453,182.0,0,0,11
rep__event_dur_max_s,175.13636363636363,153.0,1,1,11
pct_n1,176.22727272727272,198.0,0,0,11
arousal_density,176.4090909090909,177.0,0,0,11
rep__spindle_n2_dur_mean,177.4090909090909,187.0,0,0,11
nk__hrv_rem_sdnn,177.9090909090909,180.0,0,0,11
nk__hrv_wake_sd2,178.04545454545453,155.0,0,0,11
nk__hrv_sleep_sdsd,178.05555555555554,155.0,0,1,9
pct_n2,178.63636363636363,120.5,1,2,11
rep__spindle_threshold_uv,179.0,239.0,0,0,11
hyp_idx,179.5,152.0,0,0,11
micro__couple_nrem_preferred_phase_sin,179.72727272727272,140.0,0,1,11
micro__couple_n2_coupling_strength,180.0,124.0,0,0,11
nk__hrv_sleep_rmssd,180.63636363636363,133.0,0,1,11
arousal_idx,180.6818181818182,142.0,0,0,11
nk__hrv_n1_sdnn,181.0909090909091,138.0,0,0,11
nk__hrv_n2_rmssd,181.27777777777777,189.0,0,1,9
arch__trans_entropy_n1,181.77272727272728,206.0,0,0,11
arch__arousal_iai_median_s,182.4090909090909,157.0,0,0,11
nk__eegc_wake_sampen_mean,182.5909090909091,179.0,0,0,11
nk__hrv_nrem_dfa_a2,183.0,103.0,0,0,11
nk__rsp_n2_rrv_cv,183.1818181818182,173.5,0,0,11
nk__hrv_wake_sd1,183.33333333333334,180.0,0,0,9
micro__couple_nrem_modulation,184.0,150.0,0,0,11
rem_latency_min,184.04545454545453,157.0,0,0,11
rep__spindle_n3_minutes,184.27272727272728,154.0,0,1,11
nk__hrv_n3_hr_mean,184.36363636363637,187.0,0,0,11
rep__eeg_wake_rel_delta,184.63636363636363,192.0,0,0,11
rep__ahi,184.8181818181818,210.0,1,1,11
nk__hrv_n1_sd1sd2,185.0,187.0,0,0,9
rep__eeg_n3_abs_sigma,185.27272727272728,188.0,0,0,11
nk__eegc_n2_sampen_mean,186.27272727272728,203.0,0,0,11
rep__eeg_n1_abs_sigma,188.0,187.0,0,0,11
nk__hrv_n3_wake_rmssd_ratio,188.4090909090909,174.0,0,0,11
arch__trans_p_n2_rem,190.1818181818182,198.0,0,0,11
rep__eeg_rem_abs_theta,191.13636363636363,169.0,0,0,11
arch__trans_p_n1_n1,191.22727272727272,197.0,0,0,11
arch__trans_p_n1_wake,191.3181818181818,181.0,0,0,11
rep__eeg_wake_rel_beta,192.4090909090909,216.0,0,0,11
rep__RERA_dur_mean_s,192.5,194.0,0,0,11
nk__hrv_wake_lfhf,192.9090909090909,224.0,0,0,11
nk__hrv_nrem_sdsd,193.16666666666666,218.0,0,1,9
nk__hrv_rem_sampen,193.63636363636363,176.0,0,0,11
rep__eeg_n1_abs_alpha,193.77272727272728,219.0,0,0,11
nk__eegc_n3_sampen_sd,193.9090909090909,190.0,0,0,11
arch__trans_p_rem_wake,195.3181818181818,201.5,0,0,11
arch__arousal_dur_sd_s,195.54545454545453,213.0,0,0,11
